Customer ID,Sales Channel,Gender,Product Type,Purchase Reason,Decision,Age at POS,Manual Decision,Employment,Sum Assured,Annual Premium,Evidence,1 Year Lapse
A000000024,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,45,N,House Person,100000.00,132.00,Y,0
A000000025,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,46,N,Employed,164995.00,420.60,Y,0
A000000026,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,37,N,Self-Employed,135000.00,319.08,N,0
A000000027,IFA,Male,Single,Family Protection,Accepted Standard Terms,57,Y,Employed,100000.00,393.00,N,0
A000000028,IFA,Female,Single,Family Protection,Accepted Standard Terms,48,Y,Employed,200000.00,849.60,N,0
A000000029,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,48,Y,Employed,100386.00,456.48,N,0
A000000030,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,53,Y,Self-Employed,50395.00,363.24,N,0
A000000031,IFA,Male,Single,Family Protection,Accepted Standard Terms,48,N,Employed,120000.00,258.36,Y,0
A000000032,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,43,Y,Self-Employed,101500.00,440.40,N,0
A000000033,IFA,Male,Single,Family Protection,Accepted Standard Terms,59,Y,Self-Employed,50000.00,214.20,N,0
A000000034,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,46,N,Employed,170000.00,788.88,Y,0
A000000035,IFA,Female,Single,Family Protection,Accepted Standard Terms,49,Y,Self-Employed,150000.00,326.40,N,1
A000000036,IFA,Male,Single,Family Protection,Accepted Standard Terms,39,N,Employed,200000.00,829.80,Y,0
A000000037,IFA,Female,Single,Family Protection,Accepted Standard Terms,40,Y,Employed,100000.00,109.44,N,0
A000000038,IFA,Male,Single,Family Protection,Accepted Standard Terms,65,N,Retired,10000.00,267.36,N,0
A000000039,SP,Male,Single,Family Protection,Accepted Standard Terms,44,Y,Employed,450000.00,616.80,N,0
A000000040,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,41,N,Employed,117000.00,1021.92,Y,0
A000000041,IFA,Female,Single,Mortgage Protection,Accepted Standard Terms,43,N,Self-Employed,115000.00,104.40,Y,0
A000000042,IFA,Female,Single,Family Protection,Accepted Standard Terms,43,N,Self-Employed,40000.00,267.72,Y,0
A000000043,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,44,N,Employed,164995.00,420.60,Y,0
A000000044,IFA,Female,Joint,Family Protection,Accepted Standard Terms,49,N,Employed,140000.00,444.12,N,0
A000000045,BP,Male,Single,Family Protection,Accepted Standard Terms,52,N,Employed,80000.00,321.00,Y,0
A000000046,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,40,N,Employed,140000.00,132.60,Y,0
A000000047,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,40,N,Employed,40000.00,181.32,Y,0
A000000048,IFA,Female,Joint,Family Protection,Accepted Standard Terms,60,N,Employed,50000.00,574.08,Y,0
A000000049,IFA,Male,Single,Business Protection,Accepted Standard Terms,57,Y,Employed,100000.00,454.80,Y,0
A000000050,IFA,Male,Single,Business Protection,Accepted Standard Terms,57,Y,Employed,25000.00,143.40,Y,0
A000000051,IFA,Male,Single,Family Protection,Accepted Standard Terms,65,Y,Retired,21936.00,251.64,N,0
A000000052,BP,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,47,Y,Employed,130000.00,1758.60,Y,1
A000000053,BP,Female,Single,Family Protection,Accepted Standard Terms,44,Y,House Person,,167.04,N,0
A000000054,SP,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,37,Y,Self-Employed,29787.00,489.72,N,0
A000000055,IFA,Male,Joint,Family Protection,Accepted Standard Terms,45,Y,Employed,,162.24,N,0
A000000056,IFA,Male,Joint,Family Protection,Accepted Standard Terms,39,N,Employed,150000.00,371.28,Y,0
A000000057,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,44,N,Employed,90499.00,203.16,Y,0
A000000058,IFA,Male,Single,Mortgage Protection,Accepted Non Standard Terms,46,Y,Employed,117675.00,562.92,Y,0
A000000059,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,52,N,Employed,21541.00,100.80,Y,0
A000000060,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,35,N,Employed,60000.00,82.80,Y,0
A000000061,SP,Female,Single,Mortgage Protection,Accepted Non Standard Terms,53,N,Self-Employed,95000.00,349.20,Y,0
A000000062,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,44,N,Self-Employed,70000.00,98.04,Y,0
A000000063,BP,Male,Single,Family Protection,Accepted Non Standard Terms,60,Y,Employed,400000.00,3155.52,N,0
A000000064,BP,Male,Single,Family Protection,Accepted Non Standard Terms,60,Y,Employed,100000.00,878.16,N,0
A000000065,BP,Male,Single,Family Protection,Accepted Non Standard Terms,60,Y,Employed,100000.00,1340.28,N,0
A000000066,IFA,Male,Single,Family Protection,Accepted Standard Terms,42,N,Employed,150000.00,202.20,Y,1
A000000067,IFA,Female,Joint,Family Protection,Accepted Standard Terms,37,N,Employed,150000.00,371.28,Y,0
A000000068,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,51,Y,Employed,234000.00,1215.36,N,0
A000000069,IFA,Female,Single,Family Protection,Accepted Standard Terms,46,Y,Employed,50000.00,409.80,N,0
A000000070,IFA,Male,Single,Family Protection,Accepted Standard Terms,50,Y,Employed,50000.00,125.52,Y,0
A000000071,IFA,Female,Joint,Family Protection,Accepted Standard Terms,49,Y,Employed,250000.00,2038.32,N,0
A000000072,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,50,N,Employed,84659.00,1537.44,Y,0
A000000073,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,40,N,Employed,169000.00,496.20,Y,0
A000000074,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,46,N,Employed,96200.00,190.80,Y,0
A000000075,SP,Female,Joint,Mortgage Protection,Accepted Standard Terms,54,Y,Employed,21541.00,100.80,N,0
A000000076,IFA,Female,Single,Mortgage Protection,Accepted Standard Terms,46,Y,Employed,145000.00,164.76,Y,0
A000000077,IFA,Male,Single,Family Protection,Accepted Non Standard Terms,49,Y,Employed,64000.00,237.36,N,0
A000000078,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,61,Y,Retired,27000.00,175.92,Y,0
A000000079,IFA,Female,Single,Family Protection,Accepted Standard Terms,44,N,Employed,150000.00,294.00,Y,0
A000000080,IFA,Female,Joint,Family Protection,Accepted Standard Terms,40,N,Employed,100000.00,107.64,Y,0
A000000081,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,42,N,Employed,210500.00,392.64,Y,0
A000000082,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,42,N,Employed,234000.00,1215.36,Y,0
A000000083,BP,Male,Single,Family Protection,Accepted Standard Terms,36,Y,Employed,350000.00,393.12,N,0
A000000084,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,44,Y,Employed,56250.00,108.36,Y,0
A000000085,IFA,Female,Single,Family Protection,Accepted Standard Terms,49,Y,Employed,50000.00,107.88,N,0
A000000086,IFA,Male,Joint,Family Protection,Accepted Standard Terms,52,Y,Employed,120000.00,933.60,N,1
A000000087,IFA,Male,Joint,Family Protection,Accepted Standard Terms,52,Y,Employed,120000.00,932.40,N,1
A000000088,SP,Female,Joint,Mortgage Protection,Accepted Standard Terms,45,N,Employed,84659.00,1537.44,Y,0
A000000089,IFA,Male,Single,Business Protection,Accepted Standard Terms,56,Y,Self-Employed,750000.00,1762.68,N,0
A000000090,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,49,N,Employed,75000.00,124.56,Y,0
A000000091,SP,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,46,Y,Employed,313750.00,1787.52,N,0
A000000092,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,42,N,Employed,143495.00,281.16,Y,0
A000000093,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,100000.00,167.52,N,0
A000000094,BP,Male,,Mortgage Protection,Accepted Standard Terms,28,Y,Employed,,209.28,Y,0
A000000095,SP,Male,Single,Mortgage Protection,Accepted Non Standard Terms,63,Y,Employed,10330.00,105.72,N,0
A000000096,SP,Male,Single,Mortgage Protection,Accepted Non Standard Terms,63,Y,Employed,25389.00,341.64,N,0
A000000097,IFA,Female,Joint,Family Protection,Accepted Standard Terms,50,Y,Employed,120000.00,933.60,N,1
A000000098,IFA,Female,Joint,Family Protection,Accepted Standard Terms,50,Y,Employed,120000.00,932.40,N,1
A000000099,IFA,Male,Joint,Family Protection,Accepted Standard Terms,50,Y,Employed,200000.00,769.32,N,0
A000000100,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,53,N,Employed,37500.00,161.88,Y,0
A000000101,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,53,N,Employed,37500.00,566.40,Y,0
A000000102,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,49,Y,Employed,20000.00,148.20,N,0
A000000103,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,47,Y,Employed,232855.00,615.00,N,0
A000000104,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,53,N,Employed,64642.00,285.96,Y,0
A000000105,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,56,N,Employed,81000.00,533.88,N,1
A000000106,IFA,Male,Joint,Family Protection,Accepted Standard Terms,56,N,Employed,70000.00,667.32,N,1
A000000107,IFA,Male,Joint,Family Protection,Accepted Non Standard Terms,63,Y,Retired,107000.00,2445.24,N,0
A000000108,IFA,Female,Single,Mortgage Protection,Accepted Standard Terms,36,N,Employed,180000.00,94.68,Y,0
A000000109,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,42,N,Employed,210500.00,392.64,Y,0
A000000110,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,36,N,Self-Employed,100500.00,518.76,N,0
A000000111,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,64,Y,Retired,116000.00,991.44,N,0
A000000112,IFA,Male,Joint,Family Protection,Accepted Non Standard Terms,46,Y,Self-Employed,750000.00,2980.68,N,0
A000000113,IFA,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,46,Y,Self-Employed,150000.00,1917.24,N,0
A000000114,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,38,Y,Self-Employed,500000.00,510.48,N,0
A000000115,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,59,Y,Employed,160000.00,1547.40,N,1
A000000116,IFA,Male,Single,Family Protection,Accepted Standard Terms,33,Y,Employed,100000.00,92.28,N,0
A000000117,IFA,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,57,Y,Employed,350000.00,2298.36,N,1
A000000118,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,54,N,Employed,39000.00,678.60,Y,0
A000000119,IFA,Male,Joint,Family Protection,Accepted Standard Terms,61,Y,Self-Employed,50000.00,574.08,N,0
A000000120,SP,Female,Single,Mortgage Protection,Accepted Non Standard Terms,52,Y,Unemployed,615000.00,2579.76,N,0
A000000121,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,50,Y,Employed,64642.00,175.08,Y,0
A000000122,IFA,Female,Single,Family Protection,Accepted Standard Terms,45,N,Employed,100000.00,149.28,Y,0
A000000123,BP,Female,Single,Family Protection,Accepted Standard Terms,51,N,Employed,100000.00,478.80,Y,0
A000000124,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,47,Y,Self-Employed,174396.00,1053.60,N,0
A000000125,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,50,N,House Person,163000.00,379.08,Y,1
A000000126,IFA,Female,Single,Family Protection,Accepted Standard Terms,35,N,Employed,100000.00,644.16,Y,0
A000000127,IFA,Male,Single,Family Protection,Accepted Standard Terms,59,Y,Employed,200000.00,1034.40,N,0
A000000128,IFA,Female,Single,Family Protection,Accepted Non Standard Terms,35,N,Employed,94574.00,120.00,N,0
A000000129,IFA,Male,Single,Business Protection,Accepted Standard Terms,60,N,Self-Employed,50000.00,235.80,Y,0
A000000130,IFA,Female,Joint,Family Protection,Accepted Standard Terms,49,Y,Self-Employed,750000.00,2980.68,N,0
A000000131,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,49,Y,Self-Employed,150000.00,1917.24,N,0
A000000132,IFA,Male,Joint,Family Protection,Accepted Standard Terms,50,Y,Employed,140000.00,444.12,N,0
A000000133,IFA,Male,Single,Family Protection,Accepted Standard Terms,55,N,Employed,80000.00,437.04,Y,1
A000000134,BP,Female,Single,Family Protection,Accepted Standard Terms,32,Y,Employed,250000.00,264.72,N,0
A000000135,BP,Female,Single,Mortgage Protection,Accepted Standard Terms,32,Y,Employed,91299.00,268.80,N,0
A000000136,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,36,N,Employed,91299.00,340.20,Y,0
A000000137,IFA,Male,Single,Family Protection,Accepted Standard Terms,34,N,Employed,300000.00,224.28,Y,0
A000000138,IFA,Female,Single,Family Protection,Accepted Standard Terms,47,Y,Employed,105731.00,180.00,N,0
A000000139,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,42,N,Employed,85000.00,333.12,Y,0
A000000140,IFA,Female,Single,Family Protection,Accepted Standard Terms,42,N,Employed,200000.00,233.28,Y,0
A000000141,IFA,Male,Single,Business Protection,Accepted Standard Terms,43,N,Employed,150000.00,166.20,Y,0
A000000142,IFA,Male,Single,Business Protection,Accepted Non Standard Terms,47,Y,Employed,150000.00,364.20,N,0
A000000143,IFA,Male,Single,Family Protection,Accepted Standard Terms,37,Y,Employed,400000.00,484.68,N,0
A000000144,IFA,Male,Single,Family Protection,Accepted Standard Terms,56,Y,Self-Employed,100000.00,603.60,N,0
A000000145,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,30,Y,Employed,92050.00,435.00,Y,0
A000000146,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,40,N,House Person,45000.00,620.40,Y,0
A000000147,BP,Male,Single,Family Protection,Accepted Non Standard Terms,41,Y,Self-Employed,,497.04,N,0
A000000148,BP,Male,Single,Family Protection,Accepted Non Standard Terms,41,Y,Self-Employed,20000.00,160.32,N,0
A000000149,IFA,Male,Single,Family Protection,Accepted Standard Terms,42,Y,Employed,157000.00,210.84,N,0
A000000150,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,51,Y,Employed,185772.00,444.84,N,0
A000000151,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,51,Y,Employed,100000.00,1322.40,N,0
A000000152,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,41,N,Employed,123000.00,151.56,Y,0
A000000153,IFA,Male,Single,Family Protection,Accepted Standard Terms,39,N,Employed,100000.00,129.72,N,0
A000000154,SP,Male,Single,Mortgage Protection,Accepted Non Standard Terms,56,Y,Employed,20000.00,452.64,N,0
A000000155,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,52,N,Self-Employed,34886.00,400.92,Y,0
A000000156,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,31,N,Self-Employed,130495.00,601.68,Y,0
A000000157,IFA,Female,Single,Family Protection,Accepted Non Standard Terms,45,Y,House Person,192466.00,374.64,N,0
A000000158,IFA,Male,Joint,Family Protection,Accepted Standard Terms,39,N,Employed,39500.00,314.04,Y,1
A000000159,IFA,Male,Joint,Family Protection,Accepted Standard Terms,39,Y,Employed,300000.00,820.56,N,0
A000000160,IFA,Female,Single,Mortgage Protection,Accepted Standard Terms,41,N,Employed,90744.00,331.56,Y,0
A000000161,BP,Female,Single,Family Protection,Accepted Standard Terms,34,N,Employed,150000.00,140.04,Y,0
A000000162,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,54,Y,Self-Employed,137000.00,368.04,N,0
A000000163,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,32,N,Employed,63500.00,275.28,Y,0
A000000164,IFA,Male,Single,Family Protection,Accepted Standard Terms,39,N,Self-Employed,75000.00,94.92,Y,0
A000000165,IFA,Male,Joint,Family Protection,Accepted Standard Terms,46,N,Self-Employed,100000.00,237.84,Y,0
A000000166,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,46,N,Self-Employed,34549.00,300.36,Y,0
A000000167,IFA,Male,Single,Family Protection,Accepted Standard Terms,29,N,Employed,37000.00,97.32,Y,0
A000000168,IFA,Male,,Family Protection,Accepted Standard Terms,29,N,Employed,,234.12,Y,0
A000000169,IFA,Female,Joint,Family Protection,Accepted Standard Terms,38,Y,Employed,300000.00,820.56,N,0
A000000170,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,37,N,Employed,15100.00,102.00,Y,0
A000000171,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,36,N,Employed,182000.00,108.72,Y,0
A000000172,BP,Male,Single,Family Protection,Accepted Standard Terms,45,Y,Employed,250000.00,330.96,Y,0
A000000173,IFA,Male,Joint,Family Protection,Accepted Standard Terms,35,N,Employed,174000.00,573.84,N,0
A000000174,IFA,Female,Joint,Family Protection,Accepted Standard Terms,42,N,Employed,150000.00,205.68,Y,0
A000000175,IFA,Female,Joint,Family Protection,Accepted Standard Terms,41,N,Employed,100000.00,273.84,N,0
A000000176,IFA,Male,Joint,Family Protection,Accepted Standard Terms,46,N,Employed,100000.00,273.84,Y,0
A000000177,IFA,Male,Joint,Family Protection,Accepted Standard Terms,45,N,Employed,50000.00,138.60,Y,0
A000000178,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,49,Y,Employed,38000.00,96.84,Y,0
A000000179,IFA,Male,Joint,Family Protection,Accepted Standard Terms,47,Y,Employed,150000.00,468.00,Y,0
A000000180,IFA,Female,Joint,Family Protection,Accepted Standard Terms,48,Y,Employed,150000.00,468.00,N,0
A000000181,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,31,N,Employed,148000.00,143.16,Y,0
A000000182,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,112000.00,341.88,Y,0
A000000183,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,112000.00,341.88,Y,0
A000000184,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,32,N,Employed,96000.00,124.80,Y,0
A000000185,BP,Female,Joint,Mortgage Protection,Accepted Non Standard Terms,38,Y,Employed,347854.00,698.40,N,0
A000000186,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,31,N,Employed,160200.00,234.36,Y,0
A000000187,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,40,Y,Self-Employed,165000.00,259.20,N,0
A000000188,IFA,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,40,Y,Self-Employed,31694.00,521.76,N,0
A000000189,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,165000.00,259.20,Y,0
A000000190,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,31694.00,521.76,Y,0
A000000191,IFA,Male,Single,Business Protection,Accepted Standard Terms,45,Y,Employed,100000.00,137.40,N,0
A000000192,IFA,Male,Single,Business Protection,Accepted Standard Terms,45,Y,Employed,175000.00,1096.20,N,0
A000000193,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,40,N,Employed,128250.00,369.96,Y,0
A000000194,BP,Female,Single,Mortgage Protection,Accepted Standard Terms,46,Y,Employed,100744.00,214.32,N,0
A000000195,IFA,Male,Joint,Family Protection,Accepted Standard Terms,33,Y,Employed,209000.00,348.12,N,0
A000000196,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,47,N,Employed,90300.00,523.68,Y,1
A000000197,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,43,Y,Employed,80000.00,211.08,N,0
A000000198,SP,Female,Joint,Mortgage Protection,Accepted Standard Terms,36,N,Employed,30000.00,232.56,Y,0
A000000199,IFA,Male,Single,Family Protection,Accepted Standard Terms,42,Y,Employed,150000.00,162.00,N,0
A000000200,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,41,N,Employed,96000.00,124.80,Y,0
A000000201,IFA,Male,Single,Family Protection,Accepted Standard Terms,47,N,Employed,175000.00,708.36,N,1
A000000202,IFA,Female,Single,Family Protection,Accepted Standard Terms,50,Y,Employed,175000.00,361.56,N,0
A000000203,IFA,Female,Single,Family Protection,Accepted Standard Terms,50,N,Self-Employed,100000.00,250.20,Y,0
A000000204,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,54,Y,Employed,176250.00,686.16,N,0
A000000205,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,52,Y,Employed,176250.00,686.16,Y,0
A000000206,BP,Male,Joint,Family Protection,Accepted Standard Terms,41,Y,Employed,100000.00,264.00,N,0
A000000207,BP,Male,Single,Family Protection,Accepted Standard Terms,41,Y,Employed,242000.00,504.00,N,0
A000000208,IFA,Female,Joint,Mortgage Protection,Accepted Standard Terms,39,Y,House Person,400000.00,743.04,N,0
A000000209,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,39,Y,Employed,400000.00,743.04,N,0
A000000210,SP,Male,Joint,Mortgage Protection,Accepted Non Standard Terms,50,Y,Employed,120000.00,768.36,N,0
A000000211,IFA,Male,Joint,Family Protection,Accepted Non Standard Terms,43,Y,Self-Employed,290000.00,2453.16,N,0
A000000212,IFA,Female,Joint,Family Protection,Accepted Standard Terms,41,N,Employed,290000.00,2453.16,Y,0
A000000213,BP,Female,Single,Family Protection,Accepted Standard Terms,39,N,House Person,100000.00,87.36,Y,0
A000000214,BP,Female,Single,Mortgage Protection,Accepted Standard Terms,39,N,House Person,158000.00,135.00,Y,0
A000000215,BP,Female,Single,Mortgage Protection,Accepted Standard Terms,46,N,Employed,92999.00,163.68,Y,0
A000000216,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,43,Y,Employed,34000.00,379.32,N,0
A000000217,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,47,Y,Employed,189900.00,464.28,N,0
A000000218,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,42,Y,Employed,189900.00,464.28,N,0
A000000219,SP,Female,Single,Mortgage Protection,Accepted Standard Terms,50,Y,Employed,27800.00,253.80,N,0
A000000220,IFA,Female,Single,Family Protection,Accepted Standard Terms,39,Y,Employed,150000.00,135.60,Y,0
A000000221,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,40,N,Employed,140000.00,327.96,Y,1
A000000222,BP,Female,Joint,Family Protection,Accepted Standard Terms,50,N,House Person,30000.00,233.88,Y,0
A000000223,IFA,Male,Single,Family Protection,Accepted Standard Terms,42,Y,Unemployed,200000.00,213.96,N,0
A000000224,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,45,N,Employed,47600.00,127.92,Y,0
A000000225,SP,Female,Joint,Mortgage Protection,Accepted Standard Terms,42,N,House Person,47600.00,127.92,Y,0
A000000226,BP,Female,Joint,Family Protection,Accepted Standard Terms,47,N,Employed,45000.00,300.00,Y,0
A000000227,IFA,Male,Single,Family Protection,Accepted Standard Terms,52,N,Self-Employed,130000.00,301.68,Y,0
A000000228,IFA,Female,Single,Family Protection,Accepted Standard Terms,38,Y,House Person,,81.00,Y,0
A000000229,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,45,N,Self-Employed,227000.00,713.52,Y,0
A000000230,IFA,Male,Single,Mortgage Protection,Accepted Standard Terms,49,Y,Employed,250000.00,480.60,N,0
A000000231,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,40,Y,Self-Employed,148100.00,456.60,N,0
A000000232,BP,Female,Joint,Mortgage Protection,Accepted Standard Terms,40,Y,Self-Employed,85000.00,1216.20,N,0
A000000233,IFA,Male,Single,Mortgage Protection,Accepted Non Standard Terms,43,Y,Employed,157500.00,629.52,Y,0
A000000234,BP,Male,Single,Mortgage Protection,Accepted Non Standard Terms,38,Y,Employed,42207.00,155.04,N,1
A000000235,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,47,Y,Employed,107000.00,218.64,N,0
A000000236,SP,Male,Joint,Mortgage Protection,Accepted Standard Terms,35,N,Employed,30475.00,72.00,Y,0
A000000237,IFA,Female,Single,Mortgage Protection,Accepted Non Standard Terms,41,Y,Self-Employed,150000.00,172.20,N,1
A000000238,IFA,Male,Joint,Mortgage Protection,Accepted Standard Terms,33,Y,Employed,75000.00,88.92,Y,0
A000000239,IFA,Male,Single,Mortgage Protection,Accepted Non Standard Terms,52,Y,Employed,150000.00,643.20,N,0
A000000240,IFA,Male,,Family Protection,Accepted Standard Terms,29,N,Employed,,228.36,Y,0
A000000241,BP,Male,Joint,Mortgage Protection,Accepted Standard Terms,46,Y,Self-Employed,120000.00,298.80,Y,0
A000000242,BP,Male,Single,Family Protection,Accepted Standard Terms,46,Y,Self-Employed,120000.00,239.52,Y,0
A000000243,SP,Male,Single,Mortgage Protection,Accepted Standard Terms,44,Y,Employed,100100.00,174.12,N,0
A000000244,BP,Male,Single,Mortgage Protection,Accepted Standard Terms,36,N,Employed,33275.00,194.52,Y,0
A000000245,BP,Male,,Family Protection,Accepted Standard Terms,36,N,Employed,,289.32,Y,0
